,text,color,size,position,time,sn,userid
189,好可愛🫠,#FFFFFF,1,0,291,39717927,Sonnun
190,咦呀！！！！！,#FFFFFF,1,0,294,39156757,jnini107040
191,在的說話,#FFFFFF,1,0,295,43843903,Mia1020214
192,啊～～～,#FFFFFF,1,0,296,43574718,kevinerrt098
193,^^,#FFFFFF,1,0,298,43535454,dozwang
194,???,#FFFFFF,1,0,299,39987834,karta2194512
195,小寶寶們ˊ///ˋ,#FFFFFF,1,0,303,37090112,kodgreen59
196,這隻黃色的好欠打,#FFFFFF,1,0,307,39310541,a631003
197,最愛兔哥烏薩奇>///<,#FFFFFF,1,0,307,41204730,jessie78327
198,嗅嗅,#FFFFFF,1,0,309,37846552,brianbon
